Qty	Value	Designator	Device	Package	Digi-Key Example	Digi-Key Price
1		U1	AVR32DD14-I/SL	14-SOIC	150-AVR32DD14-I/SL-ND	0.95	
1		U2	PAM8302AASCR	8-MSOP	PAM8302AASCRDICT-ND	1.05
1	24MHz/12pF	X1	24MHz CRYSTAL	SMD_4P-L3.2-W2.5	SER4252CT-ND	0.52
2	100nF	C1,C2		C0603	311-1088-1-ND	0.16
2	15pF	C3,C4		C0603	490-1331-1-ND	0.20
3	1uF	C5,C7,C8		C0603	1276-1946-1-ND	0.24
1	10uF	C6		C0603	1276-6455-1-ND	0.08
2	220pF	C9,C10		C0805	311-1115-1-ND	0.20
1	10kΩ	R1	Trim Pot	3.8mm x 3.6mm	TC33X-103ECT-ND	0.25
1	10kΩ	R2		R0603	311-10.0KHRCT-ND	0.10
2	1kΩ@100MHz	FB1,FB2	Ferrite Bead	L0805	BLM21AG102SH1D	0.38
